City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,8.05,clear sky
80,Greenville,US,35.6127,-77.3663,34.0,69,1,4.52,clear sky
81,Maraa,BR,-1.8333,-65.3667,76.48,88,50,3.36,scattered clouds
82,Albany,US,42.6001,-73.9662,17.01,60,5,7.74,clear sky
83,Bengkulu,ID,-3.8004,102.2655,74.43,93,100,6.38,overcast clouds
84,Kargat,RU,55.1956,80.2811,-13.05,86,100,9.31,overcast clouds
85,Bilma,NE,18.6853,12.9164,57.81,31,0,3.87,clear sky
86,Bilokurakyne,UA,49.5341,38.7307,36.37,83,100,16.64,light rain
87,Rio Tuba,PH,8.5061,117.4317,80.85,74,49,21.25,scattered clouds
88,Butaritari,KI,3.0707,172.7902,81.23,78,53,18.37,broken clouds
89,Manokwari,ID,-0.8667,134.0833,80.28,81,100,14.18,overcast clouds
90,Praia,CV,14.9215,-23.5087,73.4,56,0,17.27,clear sky
91,Alofi,NU,-19.0595,-169.9187,82.4,74,100,12.66,moderate rain
92,Utena,LT,55.5,25.6,22.93,97,100,11.18,overcast clouds
93,Grand Gaube,MU,-20.0064,57.6608,75.99,85,3,1.99,clear sky
94,Kamenka,RU,51.3223,42.7678,35.01,93,100,17.11,overcast clouds
95,Puerto Quijarro,BO,-17.7833,-57.7667,78.3,66,85,3.04,overcast clouds
96,Atuona,PF,-9.8,-139.0333,79.25,73,62,17.56,broken clouds
97,Karpathos,GR,35.507,27.2132,60.8,82,0,14.97,clear sky
98,Pisco,PE,-13.7,-76.2167,71.6,73,0,13.8,clear sky
99,Tasiilaq,GL,65.6145,-37.6368,21.2,33,90,13.8,overcast clouds
100,Lukoyanov,RU,55.0277,44.4786,20.34,97,100,11.48,snow
101,Maarianhamina,AX,60.0973,19.9348,26.6,86,90,11.5,light snow
102,Codrington,AU,-38.2667,141.9667,65.07,57,0,8.46,clear sky
103,Saint-Louis,SN,16.3333,-15.0,77.0,33,0,2.3,clear sky
104,Buchanan,LR,5.8808,-10.0467,75.2,94,40,4.99,mist
105,Naters,CH,46.3254,7.9891,42.01,94,100,5.32,overcast clouds
106,Rocha,UY,-34.4833,-54.3333,64.62,90,100,20.83,moderate rain
107,Isla Mujeres,MX,21.2311,-86.731,77.0,57,40,10.36,scattered clouds
108,Upernavik,GL,72.7868,-56.1549,-9.45,85,77,6.51,broken clouds
109,Bluff,NZ,-46.6,168.3333,58.21,68,98,7.4,overcast clouds
110,San Policarpo,PH,12.1791,125.5072,79.88,77,100,20.07,overcast clouds
111,Half Moon Bay,US,37.4636,-122.4286,57.2,76,90,8.05,overcast clouds
112,Avarua,CK,-21.2078,-159.775,82.4,74,75,6.91,broken clouds
113,Saint Anthony,US,45.0205,-93.218,32.0,74,90,9.22,light snow
114,Aklavik,CA,68.2191,-135.0107,-16.6,76,90,5.75,overcast clouds
115,Santa Barbara,US,34.7333,-120.0343,55.99,62,1,5.75,clear sky
116,Bambanglipuro,ID,-7.95,110.2833,80.02,77,100,3.38,overcast clouds
117,Luena,AO,-11.7833,19.9167,62.37,96,98,4.05,overcast clouds
118,Belaya Gora,RU,68.5333,146.4167,-28.46,86,100,2.55,overcast clouds
119,Mount Gambier,AU,-37.8333,140.7667,64.4,59,75,8.05,broken clouds
120,Nenjiang,CN,49.1833,125.2167,-15.11,88,100,6.13,overcast clouds
121,Broken Hill,AU,-31.95,141.4333,77.0,38,48,13.8,scattered clouds
122,Quang Ngai,VN,15.1167,108.8,70.63,86,94,1.63,overcast clouds
123,Shingu,JP,33.7333,135.9833,48.2,66,40,13.8,scattered clouds
124,Kaeo,NZ,-35.1,173.7833,73.0,55,0,13.0,clear sky
125,Wagar,SD,16.1525,36.2032,60.82,90,0,8.16,clear sky
126,Mangrol,IN,21.1167,70.1167,61.38,32,0,10.31,clear sky
