City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Dingle,PH,78.17,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
314,Waipawa,NZ,72.0,clear sky,-41.4122,175.5153,Tora Coastal Walk
315,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
319,Saldanha,ZA,63.63,clear sky,-33.0117,17.9442,Blue Bay Lodge
324,Coihaique,CL,60.8,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
330,Moron,AR,64.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
339,Araouane,ML,65.91,broken clouds,18.9048,-3.5265,
343,Port Blair,IN,79.36,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
345,Mangaratiba,BR,78.8,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
350,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
351,Davila,PH,77.0,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
352,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
354,Christchurch,NZ,66.99,clear sky,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
357,Horta,PT,62.4,overcast clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
358,Batemans Bay,AU,68.0,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
361,Edd,ER,70.25,few clouds,13.9297,41.6925,
363,Bara,NG,67.19,clear sky,10.3744,10.7288,
366,Kailahun,SL,70.92,clear sky,8.2833,-10.5667,MAWAC Guesthouse
368,Hokitika,NZ,62.69,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
369,Ahipara,NZ,72.28,clear sky,-35.1667,173.1667,Ahipara Holiday Park
370,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
371,Dosso,NE,69.98,broken clouds,13.049000000000001,3.1937,Hotel Toubal
373,Hirara,JP,66.2,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
374,Brazzaville,CG,73.4,overcast clouds,-4.2658,15.2832,Hotel Murex
377,Sunbury,AU,66.2,broken clouds,-37.5833,144.7333,Sunbury Motor Inn
379,Rodrigues Alves,BR,74.12,moderate rain,-7.7379999999999995,-72.6509,Pousada Aconchego
382,Coahuayana,MX,78.8,clear sky,18.7333,-103.6833,Hotel Los Arcos
383,Beloha,MG,74.37,clear sky,-25.1667,45.05,
386,Misratah,LY,64.36,clear sky,32.3754,15.0925,فندق الماسة
388,Sao Joao Da Barra,BR,77.97,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
389,Tabou,CI,78.46,clear sky,4.423,-7.3528,hotêl doufoulougou
390,Diamantino,BR,74.71,overcast clouds,-14.4086,-56.4461,Hotel Delta
392,La Plata,AR,62.01,light rain,-34.9215,-57.9545,Hotel Corregidor
393,Keffi,NG,72.5,clear sky,8.8486,7.8736,Imam Family
394,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
398,Benjamin Constant,BR,77.0,broken clouds,-4.3831,-70.0311,CASA AVALIADA
399,Vung Tau,VN,75.72,overcast clouds,10.345999999999998,107.0843,Seaside Resort
401,Menongue,AO,62.47,light rain,-14.6585,17.691,Ritz Lauca
402,Bubaque,GW,79.34,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
407,Kuningan,ID,75.83,overcast clouds,-6.9758,108.4831,OYO 2500 Gassani
409,Trinidad,BO,75.65,overcast clouds,-14.8333,-64.9,Hotel Piesta
410,Dakar,SN,68.0,overcast clouds,14.6937,-17.4441,Novotel Dakar
412,Yokadouma,CM,68.45,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
419,Dubti,ET,65.57,clear sky,11.7361,41.0853,degu Shiferaw
421,Caravelas,BR,75.6,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
422,Huarmey,PE,71.02,scattered clouds,-10.0681,-78.1522,Hotel Miramar
423,Port Keats,AU,79.66,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
428,Gayeri,BF,70.57,clear sky,12.6497,0.4931,
430,Tapes,BR,76.19,light rain,-30.6733,-51.3958,Cabanas Camping Union
431,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
433,Linguere,SN,71.6,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
434,Mutare,ZW,64.96,overcast clouds,-18.9707,32.6709,Ann Bruce Backpackers
435,Beroroha,MG,75.47,overcast clouds,-21.6667,45.1667,
437,Marsh Harbour,BS,66.49,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
442,Correntina,BR,75.99,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
445,Sao Felix Do Xingu,BR,72.82,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
446,Cabo San Lucas,MX,71.01,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
449,Salinopolis,BR,79.11,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
454,Mar Del Plata,AR,62.6,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
455,Ranong,TH,71.6,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
458,Sorong,ID,79.99,overcast clouds,-0.8833,131.25,The Waigo Hotel
459,Tombouctou,ML,65.07,clear sky,20.0,-3.0,
460,Araxa,BR,69.75,overcast clouds,-19.5933,-46.9406,Plaza Inn Flat Araxá
461,Marabba,SD,67.95,clear sky,12.35,32.1833,
463,Mecca,SA,65.98,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
464,Cidreira,BR,75.67,overcast clouds,-30.1811,-50.2056,Hotel Castelo
469,Plettenberg Bay,ZA,64.9,clear sky,-34.0527,23.3716,Thanda Vista B&B
475,Porto Velho,BR,78.8,moderate rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
484,Rantepao,ID,75.02,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
485,Lower Hutt,NZ,72.0,clear sky,-41.2167,174.9167,Boulcott Lodge
486,Cockburn Town,TC,73.4,few clouds,21.4612,-71.1419,Osprey Beach Hotel
489,Victor Harbor,AU,69.01,clear sky,-35.5667,138.6167,McCracken Country Club
491,Vicksburg,US,66.2,overcast clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
499,Richards Bay,ZA,73.65,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
501,Padang,ID,78.58,overcast clouds,-0.9492,100.3543,Mercure Padang
502,San Patricio,US,75.2,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
504,Zemio,CF,66.94,clear sky,5.0314,25.1361,OCHA Office
506,Arrifes,PT,62.6,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
507,Ogaminana,NG,75.2,clear sky,7.5946,6.2248,Mashida Guest House
510,Barinas,VE,78.66,overcast clouds,8.6226,-70.2075,Hotel Suites Mastranto
511,Wesselsbron,ZA,64.0,overcast clouds,-27.8549,26.3658,Wesselsbron Lodge
514,Taoudenni,ML,66.13,clear sky,22.6783,-3.9836,
516,Gopalpur,IN,69.46,broken clouds,19.2667,84.9167,Swosti Palm Resort
518,Banda Aceh,ID,77.49,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
520,Sur,OM,65.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
521,Gao,ML,66.99,clear sky,16.6362,1.6369999999999998,
522,Fort Portal,UG,63.66,few clouds,0.6617,30.2748,Elegance hotel
524,Couva,TT,79.0,few clouds,10.4225,-61.4675,Metro Hotel
525,Bandundu,CD,70.66,overcast clouds,-3.3167,17.3667,Coja Color
526,Sharjah,AE,66.0,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
527,Jertih,MY,75.2,scattered clouds,5.7336,102.4897,One Utama Hotel
528,Sambava,MG,75.88,clear sky,-14.2667,50.1667,Melrose
530,Kigoma,TZ,72.81,overcast clouds,-4.8769,29.6267,Kigoma Hilltop Hotel
533,Arecibo,PR,71.01,broken clouds,18.4724,-66.7157,Atlantic Sand Oasis
536,Pathein,MM,72.19,broken clouds,16.7833,94.7333,Pathein Hotel
541,El Alto,PE,74.66,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
545,Coquimbo,CL,64.4,overcast clouds,-29.9533,-71.3436,Hotel San Juan
547,Satipo,PE,69.48,broken clouds,-11.2522,-74.6386,Hotel Mayros
558,Chuy,UY,71.06,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
565,Arica,CL,68.0,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
569,Antofagasta,CL,66.2,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
571,Shreveport,US,64.4,few clouds,32.5251,-93.7502,Eldorado Resort Casino Shreveport
572,Boundiali,CI,72.1,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
574,Magaria,NE,65.26,clear sky,12.9983,8.9099,Chez Honorable Chapiou
575,Sibolga,ID,77.09,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
580,Mabaruma,GY,74.64,clear sky,8.2,-59.7833,
584,Gurupi,BR,75.58,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
587,Mmabatho,ZA,64.4,light rain,-25.85,25.6333,Mahikeng Guest Apartments
588,Kollam,IN,78.8,mist,8.8833,76.6,The Raviz Ashtamudi
591,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
592,Tocopilla,CL,68.32,clear sky,-22.092,-70.1979,Hotel Galvarino
593,Salta,AR,71.6,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
594,Birao,CF,70.52,scattered clouds,10.2849,22.7882,
595,Melton,AU,66.99,broken clouds,-37.6833,144.5833,Mantra Melbourne Melton
596,Vettavalam,IN,66.6,scattered clouds,12.1,79.25,"ADW Boys Hostel, Vettavalam"
598,Nioki,CD,71.06,overcast clouds,-2.7167,17.6833,
599,Uchiza,PE,70.93,broken clouds,-8.4592,-76.4633,Hotel San Pedro
602,Riberalta,BO,76.19,overcast clouds,-10.9833,-66.1,Hotel Colonial
605,Ouadda,CF,70.34,scattered clouds,8.0777,22.4007,
606,Gwembe,ZM,65.14,light rain,-16.4975,27.6069,
614,Suba,PH,79.25,clear sky,10.8438,121.0102,Casita Bed and Grill
618,Sassandra,CI,77.56,clear sky,4.95,-6.0833,la terrasse
623,Dunedin,NZ,62.01,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
625,Ponta Delgada,PT,62.6,broken clouds,37.7333,-25.6667,Vila Nova Hotel
627,New Port Richey,US,64.0,clear sky,28.2442,-82.7193,Quality Inn & Suites Conference Center
629,Sinnamary,GF,77.99,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
632,Estacion Coahuila,MX,62.6,clear sky,32.1939,-115.0017,Apartamentos Julissa
633,Buritizeiro,BR,73.09,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
634,Vao,NC,75.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
635,Illapel,CL,63.63,scattered clouds,-31.6308,-71.1653,Hotel Londres
637,Gamba,GA,77.25,light rain,-2.65,10.0,
639,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
642,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
643,Atar,MR,66.67,clear sky,20.5169,-13.0499,Oumou Elghoura
644,Moctezuma,MX,60.48,clear sky,29.8,-109.6667,Hotel Lobohombo
648,Praia Da Vitoria,PT,64.4,broken clouds,38.7333,-27.0667,Hotel Branco I
649,Takoradi,GH,78.98,overcast clouds,4.8845,-1.7554,Raybow International Hotel
652,Boueni,YT,78.8,few clouds,-12.9025,45.0761,The feet in water
654,Omboue,GA,75.0,light rain,-1.5746,9.2618,Hotel Olako
655,Adrar,MR,65.71,broken clouds,20.5022,-10.0711,
657,Nouakchott,MR,69.8,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
661,Ciudad Bolivar,VE,79.12,clear sky,8.1222,-63.5497,Hotel Edi
662,Mayumba,GA,76.48,overcast clouds,-3.432,10.6554,LIKWALE LODGE
665,Uige,AO,66.88,overcast clouds,-7.6087,15.0613,Juliao Pereira
667,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
668,Xai-Xai,MZ,75.29,clear sky,-25.0519,33.6442,Complexo da Familia
669,Mundo Nuevo,MX,74.23,overcast clouds,18.7,-95.5,
671,Kalmunai,LK,76.39,overcast clouds,7.4167,81.8167,VS Villa
675,Nandigama,IN,73.4,mist,16.7833,80.3,Radisson
679,Cavalcante,BR,71.58,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
684,La Palma,US,62.6,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
685,Chiredzi,ZW,73.04,overcast clouds,-21.05,31.6667,The Nesbitt Arms
690,Viedma,AR,61.0,broken clouds,-40.8135,-62.9967,Hotel Cristal
691,Vilhena,BR,70.41,overcast clouds,-12.7406,-60.1458,Hotel Mirage
692,Nouadhibou,MR,68.0,clear sky,20.930999999999997,-17.0347,El Medina
695,Kaduqli,SD,69.12,clear sky,11.0167,29.7167,فندق الله جابو
697,Parambu,BR,71.08,overcast clouds,-6.2111,-40.6944,Hotel pousada santo onofre
698,Santa Ana,US,63.0,few clouds,33.7456,-117.8678,Best Western Plus Orange County Airport North
701,Sao Miguel Do Araguaia,BR,75.54,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
706,Bangassou,CF,66.65,overcast clouds,4.7413,22.8184,
710,Oistins,BB,78.8,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
