City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sitka,US,2021-01-30 18:17:44,57.0531,-135.33,39.2,60,75,12.66
68,Mulege,MX,2021-01-30 18:17:44,26.8833,-111.9833,64.11,56,2,9.82
69,Nefteyugansk,RU,2021-01-30 18:17:44,61.0998,72.6035,-20.2,69,40,13.42
70,Kavieng,PG,2021-01-30 18:17:44,-2.5744,150.7967,82.33,76,38,14.97
71,Shelburne,CA,2021-01-30 18:17:45,44.0787,-80.2041,21.0,79,75,3.44
72,Tuatapere,NZ,2021-01-30 18:17:45,-46.1333,167.6833,48.0,80,75,8.01
73,Flinders,AU,2021-01-30 18:17:45,-34.5833,150.8552,72.0,87,57,5.01
74,Shu,KZ,2021-01-30 18:17:45,43.5983,73.7614,24.37,83,97,6.76
75,Marawi,PH,2021-01-30 18:17:45,7.9986,124.2928,78.01,87,90,15.01
76,Bastia,FR,2021-01-30 18:17:46,42.6667,9.3333,55.99,87,75,3.44
77,Abashiri,JP,2021-01-30 18:15:48,44.0213,144.2697,21.0,81,100,7.0
78,Touros,BR,2021-01-30 18:17:46,-5.1989,-35.4608,87.8,55,20,16.11
79,Wajid,SO,2021-01-30 18:17:46,3.8093,43.2471,81.28,18,3,12.97
80,Emerald,AU,2021-01-30 18:17:46,-23.5333,148.1667,75.2,78,1,9.22
81,Garowe,SO,2021-01-30 18:17:46,8.4054,48.4845,70.5,69,0,13.67
82,Galiakot,IN,2021-01-30 18:17:47,23.5167,74.0,61.09,29,0,5.03
83,Saint Anthony,US,2021-01-30 18:17:47,45.0205,-93.218,32.0,69,90,6.91
84,Tasiilaq,GL,2021-01-30 18:17:47,65.6145,-37.6368,15.8,41,75,14.97
85,Voronezh,RU,2021-01-30 18:17:47,51.6664,39.17,28.4,80,90,8.95
86,Palmer,US,2021-01-30 18:17:47,42.1584,-72.3287,23.0,38,20,4.61
87,Barinas,VE,2021-01-30 18:17:48,8.6226,-70.2075,90.86,37,23,8.12
88,Antalaha,MG,2021-01-30 18:17:48,-14.9003,50.2788,78.48,80,21,1.92
89,Iskateley,RU,2021-01-30 18:17:48,67.6803,53.1512,4.82,94,100,14.47
90,Pisco,PE,2021-01-30 18:17:48,-13.7,-76.2167,75.99,69,0,9.22
91,Bambous Virieux,MU,2021-01-30 18:17:48,-20.3428,57.7575,79.0,89,75,3.44
92,Sioux Lookout,CA,2021-01-30 18:17:49,50.1001,-91.917,23.0,80,90,6.91
93,Hermanus,ZA,2021-01-30 18:17:49,-34.4187,19.2345,68.0,81,0,4.0
94,Ekibastuz,KZ,2021-01-30 18:17:49,51.6667,75.3667,14.99,91,99,10.22
95,La Ronge,CA,2021-01-30 18:17:49,55.1001,-105.2842,10.4,79,48,1.14
96,Stupava,SK,2021-01-30 18:17:49,48.2747,17.0317,37.0,80,40,14.97
97,Kaitangata,NZ,2021-01-30 18:17:50,-46.2817,169.8464,50.0,94,10,3.0
98,Dikson,RU,2021-01-30 18:17:50,73.5069,80.5464,-35.25,83,55,9.55
99,Ouargaye,BF,2021-01-30 18:17:50,11.5033,0.0572,87.15,13,1,6.8
100,Saint-Philippe,RE,2021-01-30 18:17:50,-21.3585,55.7679,80.6,74,0,3.44
101,Los Llanos De Aridane,ES,2021-01-30 18:17:50,28.6585,-17.9182,66.2,72,75,14.97
102,Fairbanks,US,2021-01-30 18:17:50,64.8378,-147.7164,-7.01,77,90,1.03
103,Bonthe,SL,2021-01-30 18:17:50,7.5264,-12.505,83.37,68,22,10.74
104,Kalabo,ZM,2021-01-30 18:17:51,-14.97,22.6814,73.31,80,76,4.74
105,Carnarvon,AU,2021-01-30 18:17:51,-24.8667,113.6333,80.6,83,25,12.66
106,Sarangani,PH,2021-01-30 18:17:51,5.4033,125.4636,81.28,75,100,22.91
107,Kure,JP,2021-01-30 18:17:51,34.2333,132.5667,39.2,75,20,5.75
108,Karratha,AU,2021-01-30 18:17:51,-20.7377,116.8463,86.02,55,99,11.23
109,Lagoa,PT,2021-01-30 18:17:52,39.05,-27.9833,62.4,90,39,31.34
110,Colchester,GB,2021-01-30 18:16:04,51.8892,0.9042,39.0,81,100,7.0
111,Chumikan,RU,2021-01-30 18:17:52,54.7183,135.315,-14.01,81,100,22.37
112,Thinadhoo,MV,2021-01-30 18:17:52,0.5333,72.9333,81.66,80,99,15.48
113,Lakes Entrance,AU,2021-01-30 18:17:52,-37.8811,147.981,57.99,1,21,5.01
114,Snezhnogorsk,RU,2021-01-30 18:17:52,69.1933,33.2531,15.8,86,40,6.71
115,Marquette,US,2021-01-30 18:17:18,46.5333,-87.6335,27.0,77,100,9.48
116,Avarua,CK,2021-01-30 18:15:16,-21.2078,-159.775,80.6,78,99,1.14
117,Moa,CU,2021-01-30 18:17:53,20.6569,-74.9403,73.45,68,58,16.35
118,Goma,CD,2021-01-30 18:17:53,-1.6792,29.2228,65.91,76,99,1.97
119,Traralgon,AU,2021-01-30 18:17:53,-38.1833,146.5333,57.0,90,21,3.0
120,Tual,ID,2021-01-30 18:17:54,-5.6667,132.75,83.34,75,100,10.38
121,Coquimbo,CL,2021-01-30 18:17:54,-29.9533,-71.3436,68.0,77,40,13.8
122,Tuktoyaktuk,CA,2021-01-30 18:17:54,69.4541,-133.0374,-36.4,74,40,2.3
123,Carutapera,BR,2021-01-30 18:17:54,-1.195,-46.02,84.22,70,82,10.74
124,Quatre Cocos,MU,2021-01-30 18:17:54,-20.2078,57.7625,79.0,89,75,3.44
125,Kushima,JP,2021-01-30 18:17:54,31.4583,131.2333,35.01,74,0,5.01
126,Adrar,MR,2021-01-30 18:17:55,20.5022,-10.0711,78.58,15,33,8.55
127,Mahebourg,MU,2021-01-30 18:16:22,-20.4081,57.7,78.8,89,75,3.44
128,East London,ZA,2021-01-30 18:17:55,-33.0153,27.9116,71.6,83,40,5.75
129,Faanui,PF,2021-01-30 18:17:55,-16.4833,-151.75,80.83,68,62,4.05
130,Tha Rua,TH,2021-01-30 18:17:55,14.5634,100.7226,80.01,62,24,3.53
131,Mitu,CO,2021-01-30 18:17:55,1.1983,-70.1733,81.36,88,80,2.21
132,Yellowknife,CA,2021-01-30 18:14:17,62.456,-114.3525,-13.0,76,40,5.75
133,Roald,NO,2021-01-30 18:17:56,62.5833,6.1333,33.8,93,90,6.91
134,Tiquicheo,MX,2021-01-30 18:17:56,18.8833,-100.7333,94.93,20,54,4.59
135,Tambo,PE,2021-01-30 18:17:56,-14.8,-73.9167,49.46,56,96,11.41
136,Nizhnevartovsk,RU,2021-01-30 18:17:56,60.9344,76.5531,-22.0,63,0,13.42
137,Samarai,PG,2021-01-30 18:17:56,-10.6167,150.6667,82.65,75,100,18.32
138,Cherskiy,RU,2021-01-30 18:17:57,68.75,161.3,-35.55,83,4,3.98
139,Kavaratti,IN,2021-01-30 18:17:57,10.5669,72.642,81.27,69,65,7.34
140,Mizdah,LY,2021-01-30 18:17:57,31.4451,12.9801,62.53,31,0,8.63
141,Norman Wells,CA,2021-01-30 18:17:57,65.282,-126.8329,-29.2,75,40,2.37
142,Lashio,MM,2021-01-30 18:17:57,22.9333,97.75,51.66,68,2,1.14
143,Kansanshi,ZM,2021-01-30 18:17:58,-12.0951,26.4273,65.73,86,100,1.5
144,Kjollefjord,NO,2021-01-30 18:17:58,70.9457,27.3465,26.22,96,100,20.67
145,Mount Gambier,AU,2021-01-30 18:17:58,-37.8333,140.7667,53.6,87,5,5.75
146,Upernavik,GL,2021-01-30 18:17:58,72.7868,-56.1549,-9.69,86,2,8.21
147,Severo-Kurilsk,RU,2021-01-30 18:17:58,50.6789,156.125,23.43,95,100,29.01
148,Caravelas,BR,2021-01-30 18:17:58,-17.7125,-39.2481,84.36,56,0,9.35
149,Clyde River,CA,2021-01-30 18:17:59,70.4692,-68.5914,-20.2,76,1,3.44
150,Acapulco,MX,2021-01-30 18:17:53,16.8634,-99.8901,86.0,62,75,9.22
151,Nemuro,JP,2021-01-30 18:17:59,43.3236,145.575,21.49,92,100,16.11
152,Merauke,ID,2021-01-30 18:17:59,-8.4667,140.3333,79.3,86,100,9.22
153,Codrington,AU,2021-01-30 18:17:59,-38.2667,141.9667,58.14,75,33,5.44
154,Ishigaki,JP,2021-01-30 18:17:59,24.3448,124.1572,66.07,58,75,13.38
155,Yerbogachen,RU,2021-01-30 18:18:00,61.2767,108.0108,-40.02,80,88,4.36
156,Rocha,UY,2021-01-30 18:18:00,-34.4833,-54.3333,82.54,46,77,15.75
157,Carndonagh,IE,2021-01-30 18:18:00,55.25,-7.2667,37.51,76,96,16.04
158,Te Anau,NZ,2021-01-30 18:18:00,-45.4167,167.7167,42.96,87,59,1.39
159,Buraydah,SA,2021-01-30 18:15:01,26.326,43.975,55.4,58,0,5.75
160,Altamont,US,2021-01-30 18:18:01,42.2068,-121.7372,39.2,65,90,13.8
161,Kuruman,ZA,2021-01-30 18:18:01,-27.4524,23.4325,79.27,32,50,5.44
162,Laguna,US,2021-01-30 18:18:01,38.421,-121.4238,53.01,62,20,3.44
163,Payo,ID,2021-01-30 18:18:01,-3.7508,103.6372,72.88,95,100,2.86
164,Port Lincoln,AU,2021-01-30 18:18:01,-34.7333,135.8667,59.59,80,8,13.0
165,Victoria,HK,2021-01-30 18:17:08,22.2855,114.1577,62.01,75,2,1.01
166,Baykit,RU,2021-01-30 18:18:01,61.67,96.37,-34.47,75,19,2.19
167,Ewa Beach,US,2021-01-30 18:18:02,21.3156,-158.0072,71.6,83,1,4.61
168,Bam,IR,2021-01-30 18:18:02,29.106,58.357,61.2,33,9,6.62
169,Eston,CA,2021-01-30 18:18:02,51.1501,-108.7514,1.0,85,90,8.05
170,Sorland,NO,2021-01-30 18:18:02,67.667,12.6934,30.85,92,14,8.03
171,Bengkulu,ID,2021-01-30 18:18:02,-3.8004,102.2655,75.65,88,99,6.73
172,Nagaur,IN,2021-01-30 18:18:02,27.2,73.7333,57.11,30,0,4.88
173,Mwinilunga,ZM,2021-01-30 18:18:03,-11.7358,24.4293,66.02,90,100,2.39
174,Vila Velha,BR,2021-01-30 18:18:03,-20.3297,-40.2925,86.0,62,0,23.02
175,Fortuna,US,2021-01-30 18:15:47,40.5982,-124.1573,50.0,66,40,18.41
176,Pekalongan,ID,2021-01-30 18:18:03,-6.8886,109.6753,57.99,10,100,9.1
177,Esperance,AU,2021-01-30 18:18:03,-33.8667,121.9,59.0,82,0,12.66
178,Coria,ES,2021-01-30 18:18:03,39.9879,-6.5377,52.0,71,100,14.0
179,Batagay-Alyta,RU,2021-01-30 18:18:03,67.8006,130.4114,-33.63,81,100,1.32
180,Puerto Del Rosario,ES,2021-01-30 18:18:04,28.5004,-13.8627,66.2,77,20,17.27
